rel. 1/cm,CCD cts
 1.367828908E+03, 6.422000122E+02
 1.368360588E+03, 6.395999756E+02
 1.368892213E+03, 6.424000244E+02
 1.369423781E+03, 6.424000244E+02
 1.369955294E+03, 6.414000244E+02
 1.370486752E+03, 6.420000000E+02
 1.371018153E+03, 6.395999756E+02
 1.371549499E+03, 6.430000000E+02
 1.372080789E+03, 6.415999756E+02
 1.372612023E+03, 6.410000000E+02
 1.373143202E+03, 6.417999878E+02
 1.373674324E+03, 6.447999878E+02
 1.374205391E+03, 6.434000244E+02
 1.374736403E+03, 6.415999756E+02
 1.375267358E+03, 6.414000244E+02
 1.375798258E+03, 6.414000244E+02
 1.376329102E+03, 6.415999756E+02
 1.376859891E+03, 6.412000122E+02
 1.377390623E+03, 6.457999878E+02
 1.377921300E+03, 6.432000122E+02
 1.378451922E+03, 6.440000000E+02
 1.378982487E+03, 6.404000244E+02
 1.379512997E+03, 6.420000000E+02
 1.380043451E+03, 6.445999756E+02
 1.380573850E+03, 6.437999878E+02
 1.381104193E+03, 6.492000122E+02
 1.381634480E+03, 6.525999756E+02
 1.382164712E+03, 7.097999878E+02
 1.382694888E+03, 1.143800049E+03
 1.383225008E+03, 9.984000244E+02
 1.383755072E+03, 6.737999878E+02
 1.384285081E+03, 6.505999756E+02
 1.384815034E+03, 6.455999756E+02
 1.385344932E+03, 6.424000244E+02
 1.385874774E+03, 6.442000122E+02
 1.386404560E+03, 6.442000122E+02
 1.386934291E+03, 6.442000122E+02
 1.387463966E+03, 6.414000244E+02
 1.387993585E+03, 6.417999878E+02
 1.388523149E+03, 6.422000122E+02
 1.389052657E+03, 6.437999878E+02
 1.389582110E+03, 6.427999878E+02
 1.390111507E+03, 6.420000000E+02
 1.390640848E+03, 6.417999878E+02
 1.391170134E+03, 6.444000244E+02
 1.391699364E+03, 6.375999756E+02
 1.392228539E+03, 6.465999756E+02
 1.392757658E+03, 6.440000000E+02
 1.393286721E+03, 6.435999756E+02
 1.393815729E+03, 6.434000244E+02
 1.394344681E+03, 6.414000244E+02
 1.394873578E+03, 6.405999756E+02
 1.395402419E+03, 6.425999756E+02
 1.395931204E+03, 6.395999756E+02
 1.396459934E+03, 6.452000122E+02
 1.396988609E+03, 6.414000244E+02
 1.397517228E+03, 6.382000122E+02
 1.398045791E+03, 6.427999878E+02
 1.398574299E+03, 6.434000244E+02
 1.399102751E+03, 6.400000000E+02
 1.399631148E+03, 6.404000244E+02
 1.400159489E+03, 6.427999878E+02
 1.400687774E+03, 6.424000244E+02
 1.401216004E+03, 6.444000244E+02
 1.401744179E+03, 6.407999878E+02
 1.402272298E+03, 6.434000244E+02
 1.402800362E+03, 6.425999756E+02
 1.403328370E+03, 6.452000122E+02
 1.403856322E+03, 6.687999878E+02
 1.404384219E+03, 6.772000122E+02
 1.404912061E+03, 6.520000000E+02
 1.405439847E+03, 6.432000122E+02
 1.405967578E+03, 6.435999756E+02
 1.406495253E+03, 6.422000122E+02
 1.407022872E+03, 6.422000122E+02
 1.407550436E+03, 6.445999756E+02
 1.408077945E+03, 6.400000000E+02
 1.408605398E+03, 6.390000000E+02
 1.409132796E+03, 6.417999878E+02
 1.409660138E+03, 6.415999756E+02
 1.410187425E+03, 6.425999756E+02
 1.410714657E+03, 6.422000122E+02
 1.411241833E+03, 6.432000122E+02
 1.411768953E+03, 6.407999878E+02
 1.412296018E+03, 6.422000122E+02
 1.412823028E+03, 6.397999878E+02
 1.413349982E+03, 6.415999756E+02
 1.413876881E+03, 6.415999756E+02
 1.414403724E+03, 6.397999878E+02
 1.414930512E+03, 6.430000000E+02
 1.415457245E+03, 6.425999756E+02
 1.415983922E+03, 6.407999878E+02
 1.416510543E+03, 6.450000000E+02
 1.417037110E+03, 6.415999756E+02
 1.417563621E+03, 6.430000000E+02
 1.418090076E+03, 6.405999756E+02
 1.418616476E+03, 6.420000000E+02
 1.419142821E+03, 6.390000000E+02
 1.419669110E+03, 6.407999878E+02
 1.420195344E+03, 6.424000244E+02
 1.420721523E+03, 6.435999756E+02
 1.421247646E+03, 6.400000000E+02
 1.421773714E+03, 6.442000122E+02
 1.422299727E+03, 6.414000244E+02
 1.422825684E+03, 6.425999756E+02
 1.423351586E+03, 6.420000000E+02
 1.423877432E+03, 6.405999756E+02
 1.424403223E+03, 6.410000000E+02
 1.424928959E+03, 6.407999878E+02
 1.425454640E+03, 6.420000000E+02
 1.425980265E+03, 6.437999878E+02
 1.426505835E+03, 6.402000122E+02
 1.427031349E+03, 6.410000000E+02
 1.427556808E+03, 6.395999756E+02
 1.428082212E+03, 6.440000000E+02
 1.428607561E+03, 6.412000122E+02
 1.429132854E+03, 6.412000122E+02
 1.429658092E+03, 6.400000000E+02
 1.430183275E+03, 6.415999756E+02
 1.430708402E+03, 6.455999756E+02
 1.431233474E+03, 6.395999756E+02
 1.431758491E+03, 6.444000244E+02
 1.432283452E+03, 6.452000122E+02
 1.432808358E+03, 6.442000122E+02
 1.433333209E+03, 6.405999756E+02
 1.433858005E+03, 6.424000244E+02
 1.434382745E+03, 6.424000244E+02
 1.434907431E+03, 6.397999878E+02
 1.435432060E+03, 6.407999878E+02
 1.435956635E+03, 6.397999878E+02
 1.436481154E+03, 6.395999756E+02
 1.437005619E+03, 6.430000000E+02
