X-Axis	BL1_MI1_H2O_quant
 2.325536814E+03	 1.117000000E+03
 2.329360713E+03	 1.102599976E+03
 2.333182772E+03	 1.108900024E+03
 2.337002991E+03	 1.107599976E+03
 2.340821371E+03	 1.110300049E+03
 2.344637915E+03	 1.108400024E+03
 2.348452623E+03	 1.114800049E+03
 2.352265497E+03	 1.108000000E+03
 2.356076538E+03	 1.110599976E+03
 2.359885747E+03	 1.107500000E+03
 2.363693126E+03	 1.105000000E+03
 2.367498676E+03	 1.103099976E+03
 2.371302399E+03	 1.106500000E+03
 2.375104296E+03	 1.110500000E+03
 2.378904368E+03	 1.099900024E+03
 2.382702617E+03	 1.099800049E+03
 2.386499044E+03	 1.103099976E+03
 2.390293650E+03	 1.103900024E+03
 2.394086436E+03	 1.103199951E+03
 2.397877405E+03	 1.104900024E+03
 2.401666557E+03	 1.108000000E+03
 2.405453894E+03	 1.103500000E+03
 2.409239416E+03	 1.110199951E+03
 2.413023127E+03	 1.102699951E+03
 2.416805026E+03	 1.104099976E+03
 2.420585115E+03	 1.126400024E+03
 2.424363395E+03	 1.104900024E+03
 2.428139868E+03	 1.102800049E+03
 2.431914536E+03	 1.104599976E+03
 2.435687399E+03	 1.096099976E+03
 2.439458458E+03	 1.102099976E+03
 2.443227716E+03	 1.104400024E+03
 2.446995173E+03	 1.100800049E+03
 2.450760831E+03	 1.110199951E+03
 2.454524691E+03	 1.101599976E+03
 2.458286754E+03	 1.095500000E+03
 2.462047022E+03	 1.108099976E+03
 2.465805497E+03	 1.104199951E+03
 2.469562178E+03	 1.100300049E+03
 2.473317069E+03	 1.105699951E+03
 2.477070169E+03	 1.104199951E+03
 2.480821481E+03	 1.104599976E+03
 2.484571005E+03	 1.104000000E+03
 2.488318744E+03	 1.099800049E+03
 2.492064698E+03	 1.098500000E+03
 2.495808868E+03	 1.097599976E+03
 2.499551257E+03	 1.104800049E+03
 2.503291865E+03	 1.097900024E+03
 2.507030693E+03	 1.101500000E+03
 2.510767743E+03	 1.097099976E+03
 2.514503017E+03	 1.112500000E+03
 2.518236515E+03	 1.096900024E+03
 2.521968239E+03	 1.109400024E+03
 2.525698189E+03	 1.115000000E+03
 2.529426369E+03	 1.097199951E+03
 2.533152778E+03	 1.102099976E+03
 2.536877418E+03	 1.104500000E+03
