X-Axis	CC7_MI3_H2O
 2.029427590E+03	 1.063300049E+03
 2.033395504E+03	 1.050599976E+03
 2.037361469E+03	 1.056400024E+03
 2.041325487E+03	 1.060599976E+03
 2.045287559E+03	 1.048199951E+03
 2.049247687E+03	 1.056099976E+03
 2.053205873E+03	 1.045900024E+03
 2.057162118E+03	 1.054300049E+03
 2.061116423E+03	 1.050900024E+03
 2.065068790E+03	 1.053099976E+03
 2.069019220E+03	 1.051400024E+03
 2.072967714E+03	 1.046500000E+03
 2.076914275E+03	 1.057300049E+03
 2.080858903E+03	 1.050099976E+03
 2.084801600E+03	 1.051500000E+03
 2.088742368E+03	 1.049400024E+03
 2.092681207E+03	 1.055400024E+03
 2.096618120E+03	 1.055099976E+03
 2.100553107E+03	 1.045300049E+03
 2.104486171E+03	 1.048599976E+03
 2.108417312E+03	 1.055599976E+03
 2.112346532E+03	 1.046900024E+03
 2.116273832E+03	 1.042900024E+03
 2.120199215E+03	 1.060800049E+03
 2.124122681E+03	 1.044599976E+03
 2.128044231E+03	 1.045800049E+03
 2.131963868E+03	 1.041800049E+03
 2.135881592E+03	 1.049599976E+03
 2.139797405E+03	 1.041800049E+03
 2.143711309E+03	 1.041300049E+03
 2.147623305E+03	 1.046199951E+03
 2.151533393E+03	 1.044300049E+03
 2.155441577E+03	 1.044500000E+03
 2.159347857E+03	 1.039900024E+03
 2.163252234E+03	 1.038099976E+03
 2.167154710E+03	 1.034500000E+03
 2.171055287E+03	 1.046199951E+03
 2.174953965E+03	 1.038900024E+03
 2.178850747E+03	 1.047000000E+03
 2.182745633E+03	 1.042300049E+03
 2.186638626E+03	 1.038800049E+03
 2.190529726E+03	 1.044199951E+03
 2.194418934E+03	 1.038900024E+03
 2.198306253E+03	 1.041699951E+03
 2.202191684E+03	 1.029699951E+03
 2.206075228E+03	 1.038400024E+03
 2.209956886E+03	 1.039199951E+03
 2.213836660E+03	 1.039699951E+03
 2.217714552E+03	 1.035300049E+03
 2.221590562E+03	 1.031500000E+03
 2.225464692E+03	 1.045699951E+03
 2.229336944E+03	 1.035900024E+03
 2.233207319E+03	 1.040599976E+03
 2.237075818E+03	 1.041000000E+03
 2.240942443E+03	 1.035800049E+03
 2.244807195E+03	 1.034500000E+03
 2.248670076E+03	 1.033099976E+03
 2.252531086E+03	 1.029500000E+03
 2.256390228E+03	 1.028099976E+03
 2.260247502E+03	 1.038599976E+03
 2.264102911E+03	 1.040500000E+03
 2.267956455E+03	 1.031400024E+03
 2.271808136E+03	 1.031000000E+03
 2.275657955E+03	 1.036800049E+03
 2.279505914E+03	 1.038199951E+03
 2.283352013E+03	 1.033400024E+03
 2.287196256E+03	 1.036500000E+03
 2.291038642E+03	 1.034099976E+03
 2.294879173E+03	 1.033599976E+03
 2.298717851E+03	 1.029699951E+03
 2.302554676E+03	 1.033500000E+03
 2.306389651E+03	 1.032699951E+03
 2.310222777E+03	 1.027800049E+03
 2.314054054E+03	 1.028900024E+03
 2.317883486E+03	 1.033800049E+03
 2.321711072E+03	 1.032300049E+03
 2.325536814E+03	 1.031699951E+03
 2.329360713E+03	 1.028500000E+03
 2.333182772E+03	 1.029599976E+03
 2.337002991E+03	 1.026699951E+03
 2.340821371E+03	 1.029699951E+03
 2.344637915E+03	 1.032300049E+03
 2.348452623E+03	 1.027099976E+03
 2.352265497E+03	 1.026800049E+03
 2.356076538E+03	 1.033199951E+03
 2.359885747E+03	 1.031599976E+03
 2.363693126E+03	 1.033699951E+03
 2.367498676E+03	 1.030699951E+03
 2.371302399E+03	 1.032800049E+03
 2.375104296E+03	 1.028300049E+03
 2.378904368E+03	 1.033099976E+03
 2.382702617E+03	 1.018700012E+03
 2.386499044E+03	 1.023299988E+03
 2.390293650E+03	 1.028699951E+03
 2.394086436E+03	 1.029800049E+03
 2.397877405E+03	 1.028900024E+03
 2.401666557E+03	 1.021000000E+03
 2.405453894E+03	 1.022599976E+03
 2.409239416E+03	 1.026400024E+03
 2.413023127E+03	 1.024900024E+03
 2.416805026E+03	 1.020900024E+03
 2.420585115E+03	 1.060900024E+03
 2.424363395E+03	 1.019799988E+03
 2.428139868E+03	 1.027500000E+03
 2.431914536E+03	 1.024500000E+03
 2.435687399E+03	 1.030400024E+03
 2.439458458E+03	 1.022799988E+03
 2.443227716E+03	 1.033199951E+03
 2.446995173E+03	 1.026099976E+03
 2.450760831E+03	 1.028300049E+03
 2.454524691E+03	 1.026199951E+03
 2.458286754E+03	 1.021400024E+03
 2.462047022E+03	 1.016599976E+03
 2.465805497E+03	 1.021299988E+03
 2.469562178E+03	 1.022000000E+03
 2.473317069E+03	 1.021299988E+03
 2.477070169E+03	 1.020099976E+03
 2.480821481E+03	 1.023200012E+03
 2.484571005E+03	 1.026000000E+03
 2.488318744E+03	 1.023099976E+03
 2.492064698E+03	 1.017799988E+03
 2.495808868E+03	 1.019599976E+03
 2.499551257E+03	 1.025699951E+03
 2.503291865E+03	 1.025000000E+03
 2.507030693E+03	 1.022500000E+03
 2.510767743E+03	 1.025300049E+03
 2.514503017E+03	 1.021099976E+03
 2.518236515E+03	 1.023000000E+03
 2.521968239E+03	 1.018799988E+03
 2.525698189E+03	 1.018500000E+03
 2.529426369E+03	 1.022299988E+03
 2.533152778E+03	 1.022500000E+03
 2.536877418E+03	 1.026400024E+03
 2.540600291E+03	 1.019000000E+03
 2.544321397E+03	 1.023000000E+03
 2.548040738E+03	 1.019900024E+03
 2.551758315E+03	 1.014799988E+03
 2.555474130E+03	 1.020700012E+03
 2.559188184E+03	 1.017599976E+03
 2.562900478E+03	 1.020500000E+03
 2.566611013E+03	 1.016299988E+03
 2.570319791E+03	 1.016700012E+03
 2.574026813E+03	 1.019099976E+03
 2.577732080E+03	 1.020799988E+03
 2.581435594E+03	 1.021599976E+03
 2.585137355E+03	 1.011700012E+03
 2.588837366E+03	 1.013299988E+03
 2.592535627E+03	 1.014599976E+03
 2.596232140E+03	 1.014000000E+03
 2.599926906E+03	 1.012400024E+03
 2.603619926E+03	 1.015400024E+03
 2.607311201E+03	 1.015000000E+03
 2.611000734E+03	 1.014200012E+03
 2.614688524E+03	 1.008900024E+03
 2.618374574E+03	 1.012000000E+03
 2.622058885E+03	 1.018799988E+03
 2.625741457E+03	 1.014099976E+03
 2.629422293E+03	 1.013599976E+03
 2.633101393E+03	 1.012900024E+03
 2.636778759E+03	 1.020299988E+03
 2.640454391E+03	 1.021900024E+03
 2.644128292E+03	 1.012900024E+03
 2.647800463E+03	 1.011299988E+03
 2.651470904E+03	 1.014500000E+03
 2.655139617E+03	 1.014500000E+03
 2.658806604E+03	 1.016400024E+03
 2.662471865E+03	 1.011900024E+03
 2.666135402E+03	 1.010900024E+03
 2.669797216E+03	 1.017500000E+03
 2.673457308E+03	 1.010599976E+03
 2.677115680E+03	 1.014000000E+03
 2.680772333E+03	 1.016500000E+03
 2.684427267E+03	 1.009900024E+03
 2.688080485E+03	 1.010700012E+03
 2.691731988E+03	 1.008000000E+03
 2.695381776E+03	 1.010200012E+03
 2.699029852E+03	 1.010700012E+03
 2.702676216E+03	 1.017099976E+03
 2.706320869E+03	 1.008000000E+03
 2.709963813E+03	 1.008700012E+03
 2.713605049E+03	 1.016200012E+03
 2.717244579E+03	 1.006799988E+03
 2.720882403E+03	 1.007000000E+03
 2.724518522E+03	 1.008400024E+03
 2.728152939E+03	 1.009599976E+03
 2.731785654E+03	 1.013200012E+03
 2.735416668E+03	 1.008599976E+03
 2.739045983E+03	 1.013299988E+03
 2.742673600E+03	 1.013599976E+03
 2.746299520E+03	 1.015299988E+03
 2.749923744E+03	 1.010900024E+03
 2.753546274E+03	 1.012200012E+03
