,pressure,mean,std,variance
785,25.537568818818826,,,
786,25.42290728228228,,,
787,25.30824574574575,,,
788,25.193584209209206,,,
789,25.078922672672675,,,
790,24.964261136136145,,,
791,24.8495995995996,,,
792,24.73493806306307,,,
793,24.620276526526524,,,
794,24.505614989989994,,,
795,24.390953453453463,,,
796,24.276291916916918,,,
797,24.161630380380387,,,
798,24.046968843843842,,,
799,23.932307307307312,,,
800,23.81764577077078,,,
801,23.702984234234236,,,
802,23.588322697697706,,,
803,23.47366116116116,,,
804,23.35899962462463,,,
805,23.244338088088085,,,
806,23.129676551551555,,,
807,23.015015015015024,,,
808,22.90035347847848,,,
809,22.78569194194195,,,
810,22.671030405405403,,,
811,22.556368868868873,,,
812,22.441707332332342,,,
813,22.327045795795797,,,
814,22.212384259259267,,,
815,22.09772272272272,,,
816,21.98306118618619,,,
817,21.86839964964966,,,
818,21.753738113113116,,,
819,21.639076576576585,,,
820,21.52441504004004,,,
821,21.40975350350351,,,
822,21.295091966966964,,,
823,21.180430430430434,,,
824,21.065768893893903,,,
825,20.95110735735736,,,
826,20.836445820820828,,,
827,20.721784284284283,,,
828,20.607122747747752,,,
829,20.49246121121122,,,
830,20.377799674674677,,,
831,20.263138138138146,,,
832,20.1484766016016,,,
833,20.03381506506507,,,
834,19.919153528528525,,,
835,19.804491991991995,,,
836,19.689830455455464,,,
837,19.57516891891892,,,
838,19.46050738238239,,,
839,19.345845845845844,,,
840,19.231184309309313,,,
841,19.116522772772782,,,
842,19.001861236236238,,,
843,18.887199699699707,,,
844,18.772538163163162,,,
845,18.65787662662663,,,
846,18.5432150900901,,,
847,18.428553553553556,,,
848,18.313892017017025,,,
849,18.19923048048048,,,
850,18.08456894394395,,,
851,17.969907407407405,,,
852,17.855245870870874,,,
853,17.740584334334343,,,
854,17.6259227977978,,,
855,17.511261261261268,,,
856,17.396599724724723,,,
857,17.281938188188192,,,
858,17.16727665165166,,,
859,17.052615115115117,,,
860,16.937953578578586,,,
861,16.82329204204204,,,
862,16.70863050550551,,,
863,16.59396896896898,,,
864,16.479307432432435,,,
865,16.364645895895904,,,
866,16.24998435935936,,,
867,16.13532282282283,,,
868,16.020661286286284,,,
869,15.905999749749753,,,
870,15.791338213213223,,,
871,15.676676676676678,,,
872,15.562015140140147,,,
873,15.447353603603602,,,
874,15.332692067067072,,,
875,15.218030530530541,,,
876,15.103368993993996,,,
877,14.988707457457465,,,
878,14.87404592092092,,,
