SN:0141335,,
Time/s,Pressure/MPa,Temperature/°C
2069.97,66.4586,32.3
2072.97,66.4594,32.3
2075.97,66.4614,32.3
2078.97,66.4622,32.3
2081.97,66.4630,32.3
2084.97,66.4629,32.3
2087.97,66.4638,32.3
2090.97,66.4643,32.3
2093.97,66.4644,32.3
2096.97,66.4641,32.3
2099.97,66.4647,32.3
2102.97,66.4642,32.3
2105.97,66.4644,32.3
2108.97,66.4646,32.3
2111.97,66.4644,32.3
2114.97,66.4638,32.3
2117.97,66.4639,32.3
2120.97,66.4637,32.3
2123.97,66.4637,32.3
2126.97,66.4629,32.3
2129.97,66.4621,32.3
2132.97,66.4613,32.3
2135.97,66.4618,32.3
2138.97,66.4618,32.3
2141.97,66.4615,32.3
2144.97,66.4619,32.3
2147.97,66.4612,32.3
2150.97,66.4616,32.3
2153.97,66.4608,32.3
2156.97,66.4604,32.3
2159.97,66.4604,32.3
2162.97,66.4594,32.3
2165.97,66.4594,32.3
2168.97,66.4594,32.3
2171.97,66.4598,32.3
2174.97,66.4586,32.3
2177.97,66.4583,32.3
2180.97,66.4575,32.3
2183.97,66.4571,32.3
2186.97,66.4557,32.3
2189.97,66.4546,32.3
2192.97,66.4547,32.3
2195.97,66.4555,32.3
2198.97,66.4554,32.3
2201.97,66.4550,32.3
2204.97,66.4553,32.3
2207.97,66.4550,32.3
2210.97,66.4552,32.3
2213.97,66.4560,32.3
2216.97,66.4559,32.3
2219.97,66.4564,32.3
2222.97,66.4568,32.3
2225.97,66.4574,32.3
2228.97,66.4576,32.3
2231.97,66.4576,32.3
2234.97,66.4580,32.3
2237.97,66.4578,32.3
2240.97,66.4581,32.3
2243.97,66.4580,32.3
2246.97,66.4569,32.3
2249.97,66.4567,32.3
2252.97,66.4578,32.3
2255.97,66.4568,32.3
2258.97,66.4580,32.3
2261.97,66.4574,32.3
2264.97,66.4576,32.3
2267.97,66.4574,32.3
2270.97,66.4578,32.3
2273.97,66.4585,32.3
2276.97,66.4584,32.3
2279.97,66.4592,32.3
2282.97,66.4592,32.4
2285.97,66.9889,32.3
2288.97,66.9968,32.4
2291.97,67.0026,32.3
2294.97,62.6138,32.4
2297.97,60.4549,32.4
2300.97,59.9509,32.4
2303.97,59.6624,32.4
2306.97,59.6995,32.3
2309.97,59.8233,32.3
2312.97,59.9133,32.3
2315.99,59.9814,32.3
2318.99,60.0354,32.3
2321.99,59.6621,32.3
2324.99,59.6054,32.3
2327.99,59.6533,32.3
2330.99,59.6888,32.3
2333.99,59.7163,32.3
2336.99,59.7402,32.3
2339.99,59.7593,32.3
2342.99,60.1559,32.3
2345.99,60.1753,32.3
2348.99,60.1936,32.3
2351.99,60.2145,32.3
2354.99,60.2374,32.3
2357.99,60.2591,32.3
2360.99,60.2811,32.3
2363.99,60.3029,32.3
2366.99,60.3239,32.3
2369.99,60.3448,32.3
2372.99,60.3641,32.3
2375.99,60.3837,32.3
2378.99,59.7710,32.3
2381.99,59.8069,32.3
2384.99,59.8205,32.3
2387.99,59.8309,32.3
2390.99,60.1692,32.3
2393.99,60.2733,32.3
2396.99,60.2778,32.3
2399.99,60.2919,32.3
2402.99,60.3087,32.3
2405.99,60.3257,32.3
2408.99,60.3430,32.3
2411.99,60.3607,32.3
2414.99,60.3762,32.3
2417.99,60.3918,32.3
2420.99,60.4077,32.3
2423.99,60.4219,32.3
2426.99,60.4355,32.3
2429.99,60.4486,32.3
2432.99,60.4623,32.3
2435.99,60.4756,32.3
2438.99,60.4888,32.3
2441.99,60.5016,32.3
2444.99,60.5137,32.3
2447.99,60.5269,32.3
2450.99,60.5391,32.3
2453.99,60.5509,32.3
2456.99,60.5627,32.3
2459.99,60.5741,32.3
2462.99,60.5855,32.3
2465.99,60.5963,32.3
2468.99,60.6079,32.3
2471.99,60.6183,32.3
2474.99,60.6298,32.3
2477.99,60.6406,32.3
2480.99,60.6508,32.3
2483.99,60.6608,32.3
2486.99,60.6709,32.3
2489.99,60.6812,32.3
2492.99,60.6911,32.3
2495.99,60.7001,32.3
2498.99,60.7100,32.3
2501.99,60.7189,32.3
2504.99,60.7289,32.4
2507.99,60.7378,32.3
2510.99,60.7470,32.3
2513.99,60.7553,32.3
2516.99,60.7643,32.3
2519.99,60.0676,32.3
2522.99,60.0925,32.3
2525.99,60.0985,32.3
2528.99,60.1022,32.4
2531.99,60.1048,32.3
2534.99,60.1064,32.3
2537.99,60.1089,32.3
2540.99,60.1102,32.4
2543.99,60.1115,32.3
2546.99,60.1123,32.3
2549.99,60.1141,32.3
2552.99,60.1160,32.4
2555.98,60.1180,32.3
2558.98,60.1196,32.3
2561.99,60.1216,32.4
2564.99,60.1231,32.4
2567.99,60.1243,32.4
2570.98,60.1250,32.4
2573.98,60.1261,32.4
2576.98,60.1280,32.4
2579.98,60.1280,32.4
2582.98,60.1289,32.4
2585.98,60.1297,32.4
2588.98,60.1315,32.4
2591.98,60.1319,32.4
2594.98,60.1321,32.4
2597.98,60.1336,32.4
2600.98,60.1331,32.4
2603.98,60.1342,32.4
2606.98,60.1357,32.4
2609.98,60.1375,32.4
2612.98,60.1384,32.4
2615.98,60.1390,32.4
2618.98,60.1388,32.4
2621.98,60.1402,32.4
2624.98,60.1397,32.4
2627.98,60.1408,32.4
2630.98,60.1417,32.4
2633.98,60.1412,32.4
2636.98,60.1417,32.4
2639.98,60.1412,32.4
2642.98,60.1421,32.4
2645.98,60.1426,32.4
2648.98,60.1424,32.4
2651.98,60.1418,32.4
2654.98,60.1418,32.4
2657.98,60.1425,32.4
2660.98,60.1439,32.4
2663.98,60.1455,32.4
2666.98,60.1466,32.4
2669.98,60.1473,32.4
2672.98,60.1482,32.4
2675.98,60.1484,32.4
2678.98,60.1502,32.4
2681.98,60.1520,32.4
2684.98,60.1523,32.4
2687.98,60.1529,32.4
2690.98,60.1541,32.4
2693.98,60.1547,32.4
2696.98,60.1554,32.4
2699.98,60.1555,32.4
2702.98,60.1565,32.4
2705.98,60.1562,32.4
2708.98,60.1569,32.4
2711.98,60.1574,32.4
2714.98,60.1585,32.4
2717.98,60.1596,32.4
2720.98,60.1606,32.4
2723.98,60.1602,32.4
2726.98,60.1611,32.4
2729.98,60.1612,32.4
2732.98,60.1610,32.4
2735.98,60.1603,32.4
2738.98,60.1612,32.4
2741.98,60.1607,32.4
2744.98,60.1606,32.4
2747.98,60.1626,32.4
2750.98,60.1622,32.4
2753.98,60.1626,32.4
2756.98,60.1636,32.4
2759.98,60.1650,32.4
2762.98,60.1655,32.4
2765.98,60.1648,32.4
2768.98,60.1665,32.4
