X-Axis	CC14_MI2_H2O_96mw
 1.547120196E+03	 1.325000000E+03
 1.551328409E+03	 1.322900024E+03
 1.555534499E+03	 1.324099976E+03
 1.559738465E+03	 1.321400024E+03
 1.563940311E+03	 1.321800049E+03
 1.568140037E+03	 1.333800049E+03
 1.572337645E+03	 1.329099976E+03
 1.576533136E+03	 1.324800049E+03
 1.580726512E+03	 1.328599976E+03
 1.584917774E+03	 1.327000000E+03
 1.589106925E+03	 1.337300049E+03
 1.593293965E+03	 1.331800049E+03
 1.597478896E+03	 1.325900024E+03
 1.601661719E+03	 1.329800049E+03
 1.605842436E+03	 1.326599976E+03
 1.610021048E+03	 1.328800049E+03
 1.614197558E+03	 1.326699951E+03
 1.618371966E+03	 1.326599976E+03
 1.622544274E+03	 1.326400024E+03
 1.626714484E+03	 1.327599976E+03
 1.630882596E+03	 1.325500000E+03
 1.635048613E+03	 1.327699951E+03
 1.639212536E+03	 1.328900024E+03
 1.643374367E+03	 1.321500000E+03
 1.647534106E+03	 1.319000000E+03
 1.651691756E+03	 1.313199951E+03
 1.655847318E+03	 1.323800049E+03
 1.660000794E+03	 1.306000000E+03
 1.664152185E+03	 1.313900024E+03
 1.668301492E+03	 1.323599976E+03
 1.672448717E+03	 1.319599976E+03
 1.676593862E+03	 1.309599976E+03
 1.680736928E+03	 1.316599976E+03
 1.684877916E+03	 1.318500000E+03
 1.689016829E+03	 1.309900024E+03
 1.693153667E+03	 1.310000000E+03
 1.697288433E+03	 1.309699951E+03
 1.701421127E+03	 1.313900024E+03
 1.705551751E+03	 1.310000000E+03
 1.709680306E+03	 1.314699951E+03
 1.713806795E+03	 1.317000000E+03
 1.717931218E+03	 1.314300049E+03
 1.722053578E+03	 1.312400024E+03
 1.726173875E+03	 1.316800049E+03
 1.730292111E+03	 1.309400024E+03
 1.734408288E+03	 1.318199951E+03
 1.738522407E+03	 1.310000000E+03
 1.742634469E+03	 1.305199951E+03
 1.746744477E+03	 1.304199951E+03
 1.750852431E+03	 1.293199951E+03
 1.754958334E+03	 1.296199951E+03
 1.759062186E+03	 1.297300049E+03
 1.763163989E+03	 1.310900024E+03
 1.767263745E+03	 1.308099976E+03
 1.771361455E+03	 1.308699951E+03
 1.775457121E+03	 1.301699951E+03
 1.779550743E+03	 1.294199951E+03
 1.783642325E+03	 1.301900024E+03
 1.787731866E+03	 1.299599976E+03
 1.791819369E+03	 1.299500000E+03
 1.795904835E+03	 1.297699951E+03
 1.799988266E+03	 1.294000000E+03
 1.804069663E+03	 1.304400024E+03
 1.808149027E+03	 1.294699951E+03
 1.812226361E+03	 1.304699951E+03
 1.816301665E+03	 1.299300049E+03
 1.820374941E+03	 1.291599976E+03
 1.824446190E+03	 1.296300049E+03
 1.828515415E+03	 1.295800049E+03
 1.832582616E+03	 1.290800049E+03
 1.836647796E+03	 1.298400024E+03
 1.840710954E+03	 1.289300049E+03
 1.844772094E+03	 1.292400024E+03
 1.848831216E+03	 1.296000000E+03
 1.852888323E+03	 1.281599976E+03
 1.856943414E+03	 1.288099976E+03
 1.860996493E+03	 1.295900024E+03
 1.865047560E+03	 1.288000000E+03
 1.869096617E+03	 1.287599976E+03
 1.873143665E+03	 1.295500000E+03
 1.877188707E+03	 1.290599976E+03
 1.881231742E+03	 1.291199951E+03
 1.885272774E+03	 1.295500000E+03
 1.889311803E+03	 1.295400024E+03
 1.893348830E+03	 1.299099976E+03
 1.897383858E+03	 1.285599976E+03
 1.901416888E+03	 1.297099976E+03
 1.905447921E+03	 1.282300049E+03
 1.909476959E+03	 1.296900024E+03
 1.913504003E+03	 1.290800049E+03
 1.917529054E+03	 1.288599976E+03
 1.921552115E+03	 1.295900024E+03
 1.925573187E+03	 1.302000000E+03
 1.929592270E+03	 1.286599976E+03
 1.933609367E+03	 1.290400024E+03
