X-Axis	CC4_MI1_H2O
 1.115314345E+03	 1.723800049E+03
 1.119742522E+03	 1.711199951E+03
 1.124168426E+03	 1.686599976E+03
 1.128592060E+03	 1.680300049E+03
 1.133013424E+03	 1.672599976E+03
 1.137432520E+03	 1.651500000E+03
 1.141849349E+03	 1.633000000E+03
 1.146263913E+03	 1.628599976E+03
 1.150676214E+03	 1.611300049E+03
 1.155086252E+03	 1.586300049E+03
 1.159494029E+03	 1.564699951E+03
 1.163899547E+03	 1.557300049E+03
 1.168302807E+03	 1.534699951E+03
 1.172703810E+03	 1.522000000E+03
 1.177102559E+03	 1.521500000E+03
 1.181499054E+03	 1.493400024E+03
 1.185893296E+03	 1.479099976E+03
 1.190285288E+03	 1.457699951E+03
 1.194675031E+03	 1.464300049E+03
 1.199062526E+03	 1.443500000E+03
 1.203447774E+03	 1.438699951E+03
 1.207830778E+03	 1.417000000E+03
 1.212211538E+03	 1.422199951E+03
 1.216590056E+03	 1.416599976E+03
 1.220966334E+03	 1.408599976E+03
 1.225340372E+03	 1.397699951E+03
 1.229712173E+03	 1.394000000E+03
 1.234081738E+03	 1.392300049E+03
 1.238449069E+03	 1.397199951E+03
 1.242814166E+03	 1.387199951E+03
 1.247177031E+03	 1.382300049E+03
 1.251537666E+03	 1.387699951E+03
 1.255896072E+03	 1.372599976E+03
 1.260252251E+03	 1.371099976E+03
 1.264606204E+03	 1.367699951E+03
 1.268957932E+03	 1.369000000E+03
 1.273307438E+03	 1.368199951E+03
 1.277654722E+03	 1.358800049E+03
 1.281999787E+03	 1.360699951E+03
 1.286342633E+03	 1.372699951E+03
 1.290683261E+03	 1.360800049E+03
 1.295021675E+03	 1.359900024E+03
 1.299357874E+03	 1.359800049E+03
 1.303691861E+03	 1.369199951E+03
 1.308023636E+03	 1.361099976E+03
 1.312353202E+03	 1.369300049E+03
 1.316680560E+03	 1.369500000E+03
 1.321005711E+03	 1.365300049E+03
 1.325328657E+03	 1.371500000E+03
 1.329649400E+03	 1.356000000E+03
 1.333967940E+03	 1.372699951E+03
 1.338284279E+03	 1.372300049E+03
 1.342598420E+03	 1.355400024E+03
 1.346910362E+03	 1.357699951E+03
 1.351220109E+03	 1.365300049E+03
 1.355527660E+03	 1.359699951E+03
 1.359833018E+03	 1.357199951E+03
 1.364136185E+03	 1.358199951E+03
 1.368437161E+03	 1.357500000E+03
 1.372735949E+03	 1.355800049E+03
 1.377032549E+03	 1.347500000E+03
 1.381326964E+03	 1.362099976E+03
 1.385619194E+03	 1.354099976E+03
 1.389909241E+03	 1.365900024E+03
 1.394197107E+03	 1.361699951E+03
 1.398482793E+03	 1.357400024E+03
 1.402766301E+03	 1.357500000E+03
 1.407047632E+03	 1.368699951E+03
 1.411326788E+03	 1.372699951E+03
 1.415603770E+03	 1.375900024E+03
 1.419878580E+03	 1.381800049E+03
 1.424151219E+03	 1.367000000E+03
 1.428421688E+03	 1.373699951E+03
 1.432689990E+03	 1.385400024E+03
 1.436956126E+03	 1.381599976E+03
 1.441220096E+03	 1.374699951E+03
 1.445481903E+03	 1.389199951E+03
 1.449741549E+03	 1.380300049E+03
 1.453999034E+03	 1.380300049E+03
 1.458254360E+03	 1.378900024E+03
 1.462507529E+03	 1.379199951E+03
 1.466758543E+03	 1.387500000E+03
 1.471007402E+03	 1.391099976E+03
 1.475254108E+03	 1.384500000E+03
 1.479498663E+03	 1.381400024E+03
 1.483741068E+03	 1.396300049E+03
 1.487981325E+03	 1.388699951E+03
 1.492219435E+03	 1.387800049E+03
 1.496455400E+03	 1.376699951E+03
 1.500689221E+03	 1.391699951E+03
 1.504920900E+03	 1.387400024E+03
 1.509150438E+03	 1.388900024E+03
 1.513377836E+03	 1.380500000E+03
 1.517603098E+03	 1.391300049E+03
 1.521826222E+03	 1.381800049E+03
 1.526047213E+03	 1.387599976E+03
 1.530266070E+03	 1.391500000E+03
 1.534482795E+03	 1.385500000E+03
 1.538697390E+03	 1.372900024E+03
 1.542909856E+03	 1.374500000E+03
 1.547120196E+03	 1.380099976E+03
 1.551328409E+03	 1.378599976E+03
 1.555534499E+03	 1.376000000E+03
 1.559738465E+03	 1.378099976E+03
 1.563940311E+03	 1.380900024E+03
 1.568140037E+03	 1.376699951E+03
 1.572337645E+03	 1.378699951E+03
 1.576533136E+03	 1.375400024E+03
 1.580726512E+03	 1.382199951E+03
 1.584917774E+03	 1.379699951E+03
 1.589106925E+03	 1.394800049E+03
 1.593293965E+03	 1.378699951E+03
 1.597478896E+03	 1.375699951E+03
 1.601661719E+03	 1.378199951E+03
 1.605842436E+03	 1.393000000E+03
 1.610021048E+03	 1.378800049E+03
 1.614197558E+03	 1.386599976E+03
 1.618371966E+03	 1.389099976E+03
 1.622544274E+03	 1.385699951E+03
 1.626714484E+03	 1.382500000E+03
 1.630882596E+03	 1.384300049E+03
 1.635048613E+03	 1.378400024E+03
 1.639212536E+03	 1.386199951E+03
 1.643374367E+03	 1.384099976E+03
 1.647534106E+03	 1.379099976E+03
 1.651691756E+03	 1.385599976E+03
 1.655847318E+03	 1.377400024E+03
