X-Axis	MS13_2_MI1_H2O
 2.053205873E+03	 1.477099976E+03
 2.057162118E+03	 1.489199951E+03
 2.061116423E+03	 1.479599976E+03
 2.065068790E+03	 1.481699951E+03
 2.069019220E+03	 1.483800049E+03
 2.072967714E+03	 1.481500000E+03
 2.076914275E+03	 1.478699951E+03
 2.080858903E+03	 1.483199951E+03
 2.084801600E+03	 1.474199951E+03
 2.088742368E+03	 1.482699951E+03
 2.092681207E+03	 1.473199951E+03
 2.096618120E+03	 1.480400024E+03
 2.100553107E+03	 1.484800049E+03
 2.104486171E+03	 1.484300049E+03
 2.108417312E+03	 1.485500000E+03
 2.112346532E+03	 1.480000000E+03
 2.116273832E+03	 1.475300049E+03
 2.120199215E+03	 1.493000000E+03
 2.124122681E+03	 1.477400024E+03
 2.128044231E+03	 1.483300049E+03
 2.131963868E+03	 1.473900024E+03
 2.135881592E+03	 1.470900024E+03
 2.139797405E+03	 1.481400024E+03
 2.143711309E+03	 1.469199951E+03
 2.147623305E+03	 1.480400024E+03
 2.151533393E+03	 1.479400024E+03
 2.155441577E+03	 1.473099976E+03
 2.159347857E+03	 1.466000000E+03
 2.163252234E+03	 1.470400024E+03
 2.167154710E+03	 1.459800049E+03
 2.171055287E+03	 1.470300049E+03
 2.174953965E+03	 1.462300049E+03
 2.178850747E+03	 1.471500000E+03
 2.182745633E+03	 1.468500000E+03
 2.186638626E+03	 1.470800049E+03
 2.190529726E+03	 1.469699951E+03
 2.194418934E+03	 1.459300049E+03
 2.198306253E+03	 1.469300049E+03
 2.202191684E+03	 1.468599976E+03
 2.206075228E+03	 1.474599976E+03
 2.209956886E+03	 1.467000000E+03
 2.213836660E+03	 1.471599976E+03
 2.217714552E+03	 1.476099976E+03
 2.221590562E+03	 1.464000000E+03
 2.225464692E+03	 1.461000000E+03
 2.229336944E+03	 1.456000000E+03
 2.233207319E+03	 1.470800049E+03
 2.237075818E+03	 1.464400024E+03
 2.240942443E+03	 1.468400024E+03
 2.244807195E+03	 1.467000000E+03
 2.248670076E+03	 1.458099976E+03
 2.252531086E+03	 1.467099976E+03
 2.256390228E+03	 1.454699951E+03
 2.260247502E+03	 1.455000000E+03
 2.264102911E+03	 1.460099976E+03
 2.267956455E+03	 1.449699951E+03
 2.271808136E+03	 1.460300049E+03
 2.275657955E+03	 1.457400024E+03
 2.279505914E+03	 1.464500000E+03
 2.283352013E+03	 1.455900024E+03
 2.287196256E+03	 1.460099976E+03
 2.291038642E+03	 1.468000000E+03
 2.294879173E+03	 1.468699951E+03
 2.298717851E+03	 1.449000000E+03
 2.302554676E+03	 1.460199951E+03
 2.306389651E+03	 1.456199951E+03
 2.310222777E+03	 1.462099976E+03
 2.314054054E+03	 1.470400024E+03
 2.317883486E+03	 1.462599976E+03
 2.321711072E+03	 1.460000000E+03
 2.325536814E+03	 1.453400024E+03
 2.329360713E+03	 1.458000000E+03
 2.333182772E+03	 1.463900024E+03
 2.337002991E+03	 1.463599976E+03
 2.340821371E+03	 1.466000000E+03
 2.344637915E+03	 1.460099976E+03
 2.348452623E+03	 1.450000000E+03
 2.352265497E+03	 1.459000000E+03
 2.356076538E+03	 1.465000000E+03
 2.359885747E+03	 1.453900024E+03
 2.363693126E+03	 1.451099976E+03
 2.367498676E+03	 1.453000000E+03
 2.371302399E+03	 1.455300049E+03
 2.375104296E+03	 1.451599976E+03
 2.378904368E+03	 1.443599976E+03
 2.382702617E+03	 1.449400024E+03
 2.386499044E+03	 1.457800049E+03
 2.390293650E+03	 1.450800049E+03
 2.394086436E+03	 1.449699951E+03
 2.397877405E+03	 1.444400024E+03
 2.401666557E+03	 1.457800049E+03
 2.405453894E+03	 1.455500000E+03
 2.409239416E+03	 1.449400024E+03
 2.413023127E+03	 1.453900024E+03
 2.416805026E+03	 1.455699951E+03
 2.420585115E+03	 1.481800049E+03
 2.424363395E+03	 1.452300049E+03
 2.428139868E+03	 1.453099976E+03
 2.431914536E+03	 1.451900024E+03
 2.435687399E+03	 1.452800049E+03
 2.439458458E+03	 1.446800049E+03
 2.443227716E+03	 1.440099976E+03
 2.446995173E+03	 1.449699951E+03
 2.450760831E+03	 1.454900024E+03
 2.454524691E+03	 1.439500000E+03
 2.458286754E+03	 1.448800049E+03
 2.462047022E+03	 1.453400024E+03
 2.465805497E+03	 1.454000000E+03
 2.469562178E+03	 1.444000000E+03
 2.473317069E+03	 1.440500000E+03
 2.477070169E+03	 1.445300049E+03
 2.480821481E+03	 1.447000000E+03
 2.484571005E+03	 1.439400024E+03
 2.488318744E+03	 1.448400024E+03
 2.492064698E+03	 1.447199951E+03
 2.495808868E+03	 1.448800049E+03
 2.499551257E+03	 1.448099976E+03
 2.503291865E+03	 1.442099976E+03
 2.507030693E+03	 1.440500000E+03
 2.510767743E+03	 1.439000000E+03
 2.514503017E+03	 1.449800049E+03
 2.518236515E+03	 1.449599976E+03
 2.521968239E+03	 1.440699951E+03
 2.525698189E+03	 1.445000000E+03
 2.529426369E+03	 1.446900024E+03
 2.533152778E+03	 1.448599976E+03
 2.536877418E+03	 1.444099976E+03
 2.540600291E+03	 1.451400024E+03
 2.544321397E+03	 1.445300049E+03
 2.548040738E+03	 1.449900024E+03
 2.551758315E+03	 1.440599976E+03
 2.555474130E+03	 1.444199951E+03
 2.559188184E+03	 1.443199951E+03
 2.562900478E+03	 1.442699951E+03
 2.566611013E+03	 1.435400024E+03
 2.570319791E+03	 1.432199951E+03
 2.574026813E+03	 1.437599976E+03
 2.577732080E+03	 1.438099976E+03
 2.581435594E+03	 1.427500000E+03
 2.585137355E+03	 1.433099976E+03
