X-Axis	CC9_MI1_H2O_50X
 9.000620411E+02	 2.506800049E+03
 9.046009344E+02	 2.540500000E+03
 9.091374889E+02	 2.557500000E+03
 9.136717061E+02	 2.581500000E+03
 9.182035873E+02	 2.609600098E+03
 9.227331339E+02	 2.622600098E+03
 9.272603471E+02	 2.633100098E+03
 9.317852282E+02	 2.667199951E+03
 9.363077788E+02	 2.681000000E+03
 9.408280000E+02	 2.694699951E+03
 9.453458932E+02	 2.712300049E+03
 9.498614598E+02	 2.743699951E+03
 9.543747012E+02	 2.753600098E+03
 9.588856186E+02	 2.755399902E+03
 9.633942135E+02	 2.774899902E+03
 9.679004872E+02	 2.783600098E+03
 9.724044410E+02	 2.804300049E+03
 9.769060763E+02	 2.817300049E+03
 9.814053946E+02	 2.802899902E+03
 9.859023970E+02	 2.830300049E+03
 9.903970852E+02	 2.822399902E+03
 9.948894603E+02	 2.831000000E+03
 9.993795238E+02	 2.819899902E+03
 1.003867277E+03	 2.807600098E+03
 1.008352721E+03	 2.810899902E+03
 1.012835858E+03	 2.793100098E+03
 1.017316689E+03	 2.737699951E+03
 1.021795215E+03	 2.715500000E+03
